0,1,2,3,4,5,6,7,8
CSE3094 Cyber Security,,,,,,,,
CSE319 Machine Learning,CSE3087 Applied Machine Learning,CSE 261 Machine Learning Using Python,CSE3001 Artificial Intelligence and Machine Learning,CSE3008 Machine Learning Techniques,,,,
CSE2023 Data Warehousing and Its Applications,CSE 384 Data Warehousing and Mining,,,,,,,
CSE3018 Digital Health and Imaging,CSE3018 Digital Health and Imaging,CSE5020 Medical Image Processing,,,,,,
CSE3101 Digital Watermarking and Steganography,,,,,,,,
CSE3136 E-Business & Marketing Analytics,CSE 3126 E-Commerce,CSE 3136 E-Business and Marketing Analytics,,,,,,
CSE3024 Emerging Areas in Blockchain,CSE3025 Industry Use Cases using Blockchain,CSE3022 Cryptocurrency Technology,CSE2019 Foundations of Blockchain Technology,CSE3020 Blockchain Technology and Applications,,,,
CSE3108 Expert Systems,CSE3108 Expert Systems,CSE 228 Principles of Artificial Intelligence,CSE3006 Artificial Intelligence and Neural Networks,,,,,
CSA3073 Game Design and Development,,,,,,,,
CSE3025 Industry Use Cases using Blockchain,CSE3024 Emerging Areas in Blockchain,CSE3021 Blockchain for Public Sector,CSE3022 Cryptocurrency Technology,CSE2019 Foundations of Blockchain Technology,CSE3020 Blockchain Technology and Applications,,,
CSE2060 Information Security and Management,CSE240 Information Security,,,,,,,
CSE3086 Information Theory and Coding,,,,,,,,
CSE305 Parallel Computing,CSE 316/3083 Advanced Computer Architecture,,,,,,,
CSE3033 Information Visualization,CSE367 Data Visualization,,,,,,,
CSE3102 Malware Analysis,CSE 3102 Malware Analysis,,,,,,,
CSE3129 Middleware Technologies,,,,,,,,
CSE3030 Mining Massive Datasets,,,,,,,,
CSE3009 Optimization Techniques for Machine Learning,CSE3009 Optimization Techniques for Machine Learning,,,,,,,
CSE3063 Privacy and Security in IoT,,,,,,,,
CSE2038 Privacy and Security in Online Social Media,,,,,,,,
CSE2028 Statistical Foundation of Data Science,,,,,,,,
CSE3038 Applied Data Science with Python,CSE2015 Data Analysis and Visualization,,,,,,,
CSE3017 Autonomous Navigation and Vehicles,CSE3017 Autonomous Navigation and Vehicles,,,,,,,
CSE395 Image Processing,CSE5020 Medical Image Processing,,,,,,,
CSE3021 Blockchain for Public Sector,CSE3025 Industry Use Cases using Blockchain,,,,,,,
CSE3044 Build and Release Management,,,,,,,,
CSE2025 Business Continuity and Risk Analysis,,,,,,,,
CSE3088 Business Intelligence and Analytics,CSE3088 Business Intelligence and Analytics,,,,,,,
CSE3127 Cloud Application Development,CSE3095 Cloud Security,CSE 2057 Cloud Computing and Virtualization,CSE 3095 Cloud Security,CSE233/CSE306 Cloud Computing,CSE2069 Cloud Computing,,,
CSE3095 Cloud Security,CSE3127 Cloud Application Development,CSE 2057 Cloud Computing and Virtualization,CSE 3095 Cloud Security,CSE233/CSE306 Cloud Computing,CSE2069 Cloud Computing,,,
CSE3103 Cognitive Science & Analytics,,,,,,,,
CSE3022 Cryptocurrency Technology,CSE3024 Emerging Areas in Blockchain,CSE3025 Industry Use Cases using Blockchain,CSE2019 Foundations of Blockchain Technology,CSE3020 Blockchain Technology and Applications,,,,
CSE3096 Cyber Digital Twin,,,,,,,,
CSE 2058 Firewall and Internet Security,,,,,,,,
CSE 2059 Mobile Networking,CSE241 Wireless Sensor and Adhoc Networks,,,,,,,
CSE 3132 Network Management Systems,,,,,,,,
CSE 220 Internet of Things,,,,,,,,
CSE 2057 Cloud Computing and Virtualization,CSE3127 Cloud Application Development,CSE3095 Cloud Security,CSE 3095 Cloud Security,CSE233/CSE306 Cloud Computing,CSE2069 Cloud Computing,,,
CSE 3143 Infrastructure Management,,,,,,,,
CSE 384 Data Warehousing and Mining,CSE2023 Data Warehousing and Its Applications,,,,,,,
CSE 2034 Edge Computing,CSE 2032 Introduction to Fog Computing,,,,,,,
CSE 3090 5G Networking,,,,,,,,
CSE 316/3083 Advanced Computer Architecture,CSE305 Parallel Computing,,,,,,,
CSE 3068 Advanced Database Management System,CSE2024 NoSQL Databases,,,,,,,
CSE 3015 Advanced Natural Language Processing,,,,,,,,
CSE 313 Storage Area Networks,2054 Storage Area Networks,,,,,,,
CSE 2051 Information Retrieval,CSE 2051 Information Retrieval,,,,,,,
CSE 324 Internet and Web Technologies,CSE 2056 WEB 2.0,CSE 2067 Web Technology,,,,,,
CSE 219 Big Data Analytics,CSE 3002 Big Data Technologies,,,,,,,
CSE 3123 Search Engine Optimization,,,,,,,,
CSA3052 / CSE3122 Pattern Recognition,,,,,,,,
CSE 2050 System Software,,,,,,,,
CSE 2053 Enterprise Network Design,CSE2053 Enterprise Network Design,,,,,,,
CSE 3120 Operating System with Linux Internals,CSE2010 Operating Systems,CSE2010_v02 Operating Systems,,,,,,
CSE 2056 WEB 2.0,CSE 324 Internet and Web Technologies,CSE 2067 Web Technology,,,,,,
CSE 258 Problem Solving Using Python,CSE258 Problem Solving Using Python,CSE503 Technical Skills in Python,CSE1005 Programming in Python,,,,,
CSE 2007 Data Structures and Algorithms,,,,,,,,
CSE 228 Principles of Artificial Intelligence,CSE3108 Expert Systems,CSE3108 Expert Systems,CSE3157 Artificial Intelligence and Machine Learning,CSE3006 Artificial Intelligence and Neural Networks,CSE3001 Artificial Intelligence and Machine Learning,CSE3005 Applied Artificial Intelligence,,
CSE 260 Introduction to Data Science Lab,,,,,,,,
CSE 3039 Social Media Analytics,,,,,,,,
CSE 3035 R Programming for Data Science,CSE3035 R Programming for Data Science,CSE299 Data Analytics using R,,,,,,
CSE 2014 Software Engineering,CSE 3040 Agile Structures and Frameworks,CSE248 Object-Oriented Analysis and Design with UML,CSE227 Software Engineering and Project Management,CSE2014 Software Engineering,,,,
CSE 3002 Big Data Technologies,CSE 219 Big Data Analytics,,,,,,,
CSE 3125 / CSE 265 Service Oriented Architecture,CSE311 Web Services,,,,,,,
CSE 3010 Deep Learning Techniques,CSE6001 Deep Learning,,,,,,,
CSE 3051 System Monitoring,CSE 3043 Automated Test Management,,,,,,,
CSE 3073 Game Design and Development,,,,,,,,
CSE 3126 E-Commerce,CSE3136 E-Business & Marketing Analytics,CSE 3136 E-Business and Marketing Analytics,,,,,,
CSE 3146 Advanced Java Programming,CSE 2008 Programming in Java (Object-Oriented Programming),CSE1001 Problem Solving using JAVA,,,,,,
CSE 3150 Front-end Full Stack Development,CSE 390 Front-end Full Stack Development (Lab),CSE390 Front-end Full Stack Development,,,,,,
CSE 3151 Java Full Stack Development,CSE 391 Java Full Stack Development (Lab),CSE301 Programming in Advanced JAVA,CSE391 Java Full Stack Development,,,,,
CSE 3152 .NET Full Stack Development,CSE 392 .NET Full Stack Development (Lab),CSE302 Programming in C# and .NET Framework,CSE3152 .NET Full Stack Development,,,,,
CSE 390 Front-end Full Stack Development (Lab),CSE 3150 Front-end Full Stack Development,CSE390 Front-end Full Stack Development,,,,,,
CSE 391 Java Full Stack Development (Lab),CSE 3151 Java Full Stack Development,CSE301 Programming in Advanced JAVA,CSE391 Java Full Stack Development,,,,,
CSE 392 .NET Full Stack Development (Lab),CSE 3152 .NET Full Stack Development,CSE302 Programming in C# and .NET Framework,CSE3152 .NET Full Stack Development,,,,,
CSE 3038 Applied Data Science,,,,,,,,
CSE 3076 Artificial Intelligence for Robotics,,,,,,,,
CSE 3095 Cloud Security,CSE3127 Cloud Application Development,CSE3095 Cloud Security,CSE 2057 Cloud Computing and Virtualization,CSE233/CSE306 Cloud Computing,CSE2069 Cloud Computing,,,
CSE 3102 Malware Analysis,CSE3102 Malware Analysis,,,,,,,
CSE 3136 E-Business and Marketing Analytics,CSE3136 E-Business & Marketing Analytics,CSE 3126 E-Commerce,,,,,,
CSE 3137 Text Mining and Analytics,CSE3137 Text Mining And Analytics,,,,,,,
CSE 3106 Robotic Process Automation Systems,CSE3076 Artificial Intelligence for Robotics,,,,,,,
CSA 2003 Software Metrics and Quality Management,CSE396 Software Testing and Quality Assurance,CSA2003 Software Metrics and Quality Management,,,,,,
2054 Storage Area Networks,CSE 313 Storage Area Networks,,,,,,,
